depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,AICAR (GDSC1:1001),vinblastine (GDSC1:1004),cisplatin (GDSC1:1005),cytarabine (GDSC1:1006),docetaxel (GDSC1:1007),methotrexate (GDSC1:1008),tretinoin (GDSC1:1009),gefitinib (GDSC1:1010),navitoclax (GDSC1:1011),vorinostat (GDSC1:1012),nilotinib (GDSC1:1013),refametinib (GDSC1:1014),CI 1040 (GDSC1:1015),temsirolimus (GDSC1:1016),olaparib (GDSC1:1017),veliparib (GDSC1:1018),bosutinib (GDSC1:1019),lenalidomide (GDSC1:1020),axitinib (GDSC1:1021),AZD7762 (GDSC1:1022),GW 441756 (GDSC1:1023),lestaurtinib (GDSC1:1024),SB 216763 (GDSC1:1025),tanespimycin (GDSC1:1026),VX-702 (GDSC1:1028),KU-55933 (GDSC1:1030),elesclomol (GDSC1:1031),afatinib (GDSC1:1032),vismodegib (GDSC1:1033),PLX4720 (GDSC1:1036),BX-795 (GDSC1:1037),KU-57788 (GDSC1:1038),SL 0101-1 (GDSC1:1039),doramapimod (GDSC1:1042),JNK Inhibitor VIII (GDSC1:1043),Wee1 Inhibitor (GDSC1:1046),nutlin-3 (GDSC1:1047),mirin (GDSC1:1048),PD-173074 (GDSC1:1049),ZM 447439 (GDSC1:1050),Ro-3306 (GDSC1:1052),MK-2206 (GDSC1:1053),palbociclib (GDSC1:1054),NVP-BEZ235 (GDSC1:1057),GDC-0941 (GDSC1:1058),AZD8055 (GDSC1:1059),PD-0325901 (GDSC1:1060),SB-590885 (GDSC1:1061),selumetinib (GDSC1:1062),AZD6482 (GDSC1:1066),CCT007093 (GDSC1:1067),EHT 1864 (GDSC1:1069),avagacestat (GDSC1:1072),BMS-536924 (GDSC1:1091),C225 (GDSC1:1114),PF-4708671 (GDSC1:1129),serdemetan (GDSC1:1133),HG-5-113-01 (GDSC1:1142),HG-5-88-01 (GDSC1:1143),TW-37 (GDSC1:1149),XMD11-85h (GDSC1:1158),ZG-10 (GDSC1:1161),XMD8-92 (GDSC1:1164),QL-VIII-58 (GDSC1:1166),CCT 018159 (GDSC1:1170),rucaparib (GDSC1:1175),GSK 269962A (GDSC1:1192),SB 505124 (GDSC1:1194),tamoxifen (GDSC1:1199),QL-XII-61 (GDSC1:1203),JQ1-(+) (GDSC1:1218),PFI-1 (GDSC1:1219),IOX2 (GDSC1:1230),UNC0638 (GDSC1:1236),YK-4-279 (GDSC1:1239),CHIR-99021 (GDSC1:1241),LL-Z1640-2 (GDSC1:1242),Piplartine (GDSC1:1243),FK-866 (GDSC1:1248),talazoparib (GDSC1:1259),rTRAIL (GDSC1:1261),UNC0642 (GDSC1:1263),SGC0946 (GDSC1:1264),ICL1100013 (GDSC1:1266),XAV 939 (GDSC1:1268),doxorubicin (GDSC1:133),etoposide (GDSC1:134),gemcitabine (GDSC1:135),mitomycin-C (GDSC1:136),PLX4720 (GDSC1:1371),trametinib (GDSC1:1372),dabrafenib (GDSC1:1373),temozolomide (GDSC1:1375),afatinib (GDSC1:1377),bleomycin (GDSC1:1378),vinorelbine (GDSC1:140),NSC 87877 (GDSC1:147),camptothecin (GDSC1:1494),olaparib (GDSC1:1495),selumetinib (GDSC1:1498),bicalutamide (GDSC1:150),bicalutamide (GDSC1:1502),944328-88-5 (GDSC1:151),CP-466722 (GDSC1:152),refametinib (GDSC1:1526),GDC-0941 (GDSC1:1527),pevonedistat (GDSC1:1529),midostaurin (GDSC1:153),PFI-3 (GDSC1:1530),CHIR-99021 (GDSC1:154),ponatinib (GDSC1:155),AZD6482 (GDSC1:156),KIN001-204 (GDSC1:157),PF-562271 (GDSC1:158),KIN001-206 (GDSC1:159),JQ1-(+) (GDSC1:163),JQ12 (GDSC1:164),Dimethyloxalylglcine (GDSC1:165),FTI-277 (GDSC1:166),PDK1 inhibitor AR-12 (GDSC1:167),Anchusin (GDSC1:170),Akti-1/2 (GDSC1:171),embelin (GDSC1:172),FH535 (GDSC1:173),PAC-1 (GDSC1:175),IPA-3 (GDSC1:176),GSK650394 (GDSC1:177),BAY-61-3606 (GDSC1:178),5-fluorouracil (GDSC1:179),Octanoic acid (GDSC1:180),obatoclax (GDSC1:182),BMS-754807 (GDSC1:184),linsitinib (GDSC1:185),bexarotene (GDSC1:186),bleomycin (GDSC1:190),LFM-A13 (GDSC1:192),GW-2580 (GDSC1:193),AUY922 (GDSC1:194),phenformin (GDSC1:196),Bryostatin (GDSC1:197),pazopanib (GDSC1:199),dacinostat (GDSC1:200),Patupilone (GDSC1:201),GSK1904529A (GDSC1:202),BMS-345541 (GDSC1:203),tipifarnib (GDSC1:204),avagacestat (GDSC1:205),ruxolitinib (GDSC1:206),AS601245 (GDSC1:207),SB-715992 (GDSC1:208),TL-2-105 (GDSC1:211),AT-7519 (GDSC1:219),TAK-715 (GDSC1:221),BX-912 (GDSC1:222),ZSTK-474 (GDSC1:223),KIN001-173 (GDSC1:224),Genentech Cpd 10 (GDSC1:225),GSK1070916 (GDSC1:226),Akti-1/2 (GDSC1:228),enzastaurin (GDSC1:229),GSK429286A (GDSC1:230),KIN001-242 (GDSC1:231),QL-XII-47 (GDSC1:235),IC-87114 (GDSC1:236),idelalisib (GDSC1:238),UNC0638 (GDSC1:245),cabozantinib (GDSC1:249),WZ3105 (GDSC1:252),XMD14-99 (GDSC1:253),quizartinib (GDSC1:254),CP-724714 (GDSC1:255),JW-7-24-1 (GDSC1:256),NPK76-II-72-1 (GDSC1:257),STF-62247 (GDSC1:258),NG25 (GDSC1:260),TL-1-85 (GDSC1:261),VX-11e (GDSC1:262),FR-180204 (GDSC1:263),ACY-1215 (GDSC1:264),tubastatin-A (GDSC1:265),zibotentan (GDSC1:266),YM-155 (GDSC1:268),NSC207895 (GDSC1:269),HDAC inhibitor XV (GDSC1:271),AR-42 (GDSC1:272),CUDC-101 (GDSC1:273),belinostat (GDSC1:274),I-BET-762 (GDSC1:275),CAY10603 (GDSC1:276),linifanib (GDSC1:277),BIX 02189 (GDSC1:279),alectinib (GDSC1:281),pelitinib (GDSC1:282),GSK-2126458 (GDSC1:283),JNJ38877605 (GDSC1:284),SU11274 (GDSC1:285),KIN001-236 (GDSC1:286),PDK1 inhibitor 7 (GDSC1:287),KIN001-055 (GDSC1:288),KIN001-042 (GDSC1:289),Bayer IKKb inhibitor (GDSC1:290),KIN001-266 (GDSC1:291),masitinib (GDSC1:292),amuvatinib (GDSC1:293),MPS-1-IN-1 (GDSC1:294),NVP-BHG712 (GDSC1:295),OSI-930 (GDSC1:298),OSI-027 (GDSC1:299),CX-5461 (GDSC1:300),PHA-793887 (GDSC1:301),PI-103 (GDSC1:302),PIK-93 (GDSC1:303),SB-52334 (GDSC1:304),TPCA-1 (GDSC1:305),fedratinib (GDSC1:306),foretinib (GDSC1:308),Y-39983 (GDSC1:309),YM-201636 (GDSC1:310),tivozanib (GDSC1:312),WYE-125132 (GDSC1:317),GSK690693 (GDSC1:326),SNX-2112 (GDSC1:328),QL-XI-92 (GDSC1:329),XMD13-2 (GDSC1:330),QL-X-138 (GDSC1:331),XMD15-27 (GDSC1:332),TO-901317 (GDSC1:333),EX-527 (GDSC1:341),tenovin-6 (GDSC1:342),THZ-2-49 (GDSC1:344),CDK9 inhibitor (GDSC1:345),THZ-2-102-1 (GDSC1:346),AT7867 (GDSC1:356),CI-1033 (GDSC1:362),PF-00299804 (GDSC1:363),TWS119 (GDSC1:366),Torin 2 (GDSC1:371),pilaralisib (GDSC1:372),GSK1059615 (GDSC1:374),voxtalisib (GDSC1:375),"Brivanib, BMS-540215 (GDSC1:376)",BIBF-1120 (GDSC1:380),AST-1306 (GDSC1:381),GDC0980 (GDSC1:382),LIMK1 inhibitor BMS4 (GDSC1:406),kb NB 142-70 (GDSC1:407),PF-543 (GDSC1:408),"eEF2K Inhibitor, A-484954 (GDSC1:409)","MetAP2 Inhibitor, A832234 (GDSC1:410)",CPI-613 (GDSC1:415),CAY10566 (GDSC1:416),9-??-D-Arabinofuranosyl guanine (GDSC1:427),pemetrexed (GDSC1:428),alisertib (GDSC1:431),Flavopiridol (GDSC1:432),C-75 (GDSC1:435),"CAP-232, TT-232, TLN-232 (GDSC1:436)",Trichostatin A (GDSC1:437),panobinostat (GDSC1:438),LCL161 (GDSC1:439),IMD-0354 (GDSC1:442),MIM-1 (GDSC1:446),ETP-45835 (GDSC1:447),CD532 (GDSC1:449),NSC319726 (GDSC1:461),ARRY-520 (GDSC1:474),SB 505124 (GDSC1:476),A-83-01 (GDSC1:477),LDN-193189 (GDSC1:478),Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia (GDSC1:546),BAM7 (GDSC1:552),AGI-6780 (GDSC1:562),Kobe2602 (GDSC1:563),LGK-974 (GDSC1:573),wnt-c59 (GDSC1:574),RU-SKI 43 (GDSC1:576)
ACH-000713,CAOV3,Ovary,Ovary Adenocarcinoma,High Grade Serous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8511153906048953,0.9104484676319132,0.622312566370469,0.36273008820953945,,,,,,,0.8888099938932983,0.9749551379840172,,,,0.9988813954769962,,0.9990697767255656,0.8357697940917101,,,,0.9821915441279672,,0.9799854617675904,0.990335231550808,0.9787378493226476,0.8405290483131692,0.9609337243529756,0.9732918640703891,0.9374667432542888,0.9637172632580088,0.711019789948229,0.9600735994469306,0.9564973929535404,0.5248205098453198,,0.9458253122943621,0.9127085307121128,0.9980027094731492,0.9837287437541379,0.96092766360064,0.9801555413531926,0.7680269663201643,0.6681905536653536,0.607451735415151,0.9643437253689968,,,0.7434310564503424,,0.9938850720262992,0.8094835620568963,0.6760063012541232,0.9995783459828256,,0.9402506239772732,0.7911686892368291,,0.9883619160870666,0.9579459019596503,0.998396597057142,0.996869231136061,0.9917909037447736,0.8445336264307108,0.9918120492858912,0.7693897206999041,0.9545608585782764,0.7428844642864079,0.8331978390857296,0.9258063777682436,0.9229835912120032,0.4899431225892013,0.9629275836402524,0.9102734754051122,0.9903844543854334,,0.9499459445255228,0.9724910677302654,0.9419889922144488,0.8352800840945069,0.9043136042229528,0.9061600694416416,0.9967655129928036,,0.996840595138353,0.9109186531254668,0.8897191660222072,,0.9557139456644788,0.9658786419363732,0.9671429085241,0.9723746570807752,0.8470259369938699,,,0.16279939861077955,0.986672785325368,0.9993295085639392,0.8601598726626483,0.7968234052470409,0.7296997311105071,0.8834915369451609,0.7861189687902415,0.9947218769188024,0.9801993780860668,,0.9419425352101168,0.8344038913749255,0.9537599961031508,0.9624524480846244,0.9759613406045684,0.9242127539420146,0.9375603166756772,0.9791016145962372,,0.9335284797780024,0.8895479122525316,0.9173908919282276,0.9319061614491057,0.9729696112548978,0.9702607511605178,0.6879212385823172,0.9381011858999064,0.6598113144293899,0.9809048875729214,0.7827656398786136,0.9273507574953092,0.9087888071528394,0.9659593807611048,0.6594628538689349,0.9891982632282468,0.9688241848558216,0.9952662975502669,0.7209661522739854,,0.5758736877922987,0.9886026789802768,0.964220173529432,0.797303819869901,,0.9963368793963836,0.9744176479372714,0.8901712180474661,0.6869189669780154,0.9842538070816504,0.6434962355662349,0.9416054005940389,0.684849265778512,0.7645797710960429,0.7867677247557954,0.35654518834522275,0.9185316058640476,0.4746256340774118,0.9461053874051968,0.992196852916056,0.966082006578734,0.6763088024672751,0.6705296734969616,0.9922514920460832,0.8705689792854191,,0.9961157015439016,0.9300446829868232,0.8779811068215327,0.9959564715542342,,0.9889500935047298,0.6801683530718348,0.7214309995824384,0.9777577025326234,0.9473562467455086,0.9662968779787078,0.8337928787288588,0.9000357316822317,0.4927030627137713,0.8861114408838529,,0.8417462464274519,0.616768751866544,0.60974297344063,0.9295013550961984,0.9172266429075348,0.7327689316930175,0.8349631882622073,,0.9955904990504416,0.9507066202595484,0.9319636668099808,0.9460386951385914,0.9684350690957284
ACH-000966,IGROV1,Ovary,Ovary Adenocarcinoma,Mixed Endometrioid Clear Cell,,0.9853381008083848,0.8610416229613627,0.9467166234208882,0.9445320131704186,0.7933394528453745,0.9303057492234584,,0.9477802620773284,,0.8588776649485044,,0.7643100745204963,0.9189694027061523,0.8603938589156496,0.9820116855820396,,0.7584340712246453,,,0.6648044197886711,0.8842393241052277,0.7162303660079359,,0.7253251842931636,,0.97420384342857,0.5006270668896295,0.8043337291906285,0.9595243481475902,0.9701200168189016,0.8961682307146703,0.935282385119652,,,0.9940584841966594,0.9537086778920608,0.9257729442612485,0.9524250435410078,0.9074672449283352,0.957029973738771,,0.6946458283936237,0.8111641819902516,0.8405544448494588,0.6861335300781455,0.7513012650272156,0.799846928439939,0.9995081455602622,0.8793553728112975,0.8328347011659971,0.9766372877574132,0.9686227081281958,0.9524961724087556,0.9491411263703452,,0.9387873972408904,0.8296022776562849,,,0.6739258153555271,,,,,0.9460177156079108,0.983580689242615,0.9453209918127208,,0.990808292462344,,,0.9709643863049741,0.9789372847655288,,0.8617881104918135,0.9103509886117446,0.7649219651172204,0.9314555562333728,0.6974638537590989,0.7978507885845676,0.9721672111535984,0.9883359067450064,0.9961823748894064,0.6021996959416059,0.950836853919472,,,,,0.9840232273213642,0.65818625038702,0.9180240376801584,,0.8308748591866049,,,,0.8642857673364622,0.9109187037473684,0.9177584672028152,,0.9363671686935954,,,0.908348699446946,0.6880750848245037,0.9801004602073368,,0.9999827069325792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000291,OV90,Ovary,Ovary Adenocarcinoma,High Grade Serous,,0.9739562432985394,0.7417994977426459,0.949823977326408,0.8627609835763116,0.8402965045846639,,0.9256835540522604,0.9910615945745832,0.8180004722094864,0.677143578286844,0.8946993854915529,0.4689208916252958,0.543434484085138,0.6244643007074475,0.9783737474698306,0.97889906576119,0.972750475021718,0.9777102887768429,0.956217536143716,0.7325464757640138,,0.8033442123867766,,0.5135682729031724,0.9630546702531672,0.9956199206724254,0.5466470709870267,0.9916754833430744,0.9947926104120992,0.9806696501213468,0.8893489088526457,0.9620879482353224,,0.906267228755645,0.9860881338897703,,0.960575051646246,0.9696828769731344,,0.921071616471118,,0.7556417295440536,0.9123738241691428,0.5644154553921292,0.8326934264917419,0.7925001392211954,0.4796932581946258,0.7985518006003555,0.9391605658233602,0.9124427219184436,,0.939058677163604,0.9981627142188332,0.8206674012166578,,0.958714945259486,0.9562484537561876,0.8050354041138186,0.8675199816315535,0.5716296408581203,0.9639618192787706,0.8964966817840994,0.9318134564616519,0.4903612514512072,0.9980561022900868,,0.8798421199177716,0.9530766085304742,0.9913672079108669,0.9777669633142416,0.9954346508658508,0.8988500326049996,,0.9659406957818032,,,0.9654065107713684,0.9587343173937816,0.6808184397581177,0.8796768709395919,,,0.9683815863552768,0.9393653545881324,0.9020788382357604,0.7285003582817394,0.629642075860752,0.5803663395920458,0.4195286329851428,0.919474565137382,0.24017329669854845,,0.966196855911976,0.8982039721535323,0.9238568935059108,0.8145510005648671,0.8936150667305256,0.7636472958789406,0.99393666847844,0.5775181512320526,,0.9567999060795602,0.9460380807131809,0.8559002272563581,0.5489555267844803,0.8125199045547675,,0.8929044650868502,0.9632112151929192,,0.9526924424395372,,0.75618661173361,0.9717101452968508,0.8516795845995846,0.8464655266933065,0.8147920852671899,0.7315859526649473,,0.7656828858652956,0.5345194448567828,0.945556812217922,0.6515016514455105,,,,0.921422470680344,0.9267234607031676,0.8423724454361142,0.2244626996747112,0.4312103491350608,,0.8648959718986174,0.9652750898574884,0.5992061921178972,,0.978866149981236,0.9043366370479878,0.7059728949845002,0.9172003742146874,0.8889645504243767,0.5326255934654217,0.8160161123187165,0.9781378202450558,0.9314604631922274,0.8643576882235924,0.9822410331967136,,,0.8631318327822561,0.8941448705574008,0.6824164528010273,0.9513743895271642,0.8428962411256908,,0.6614751253329503,0.8790968339397809,0.8893436229816565,0.7614600345626481,0.8161262094933053,0.9853477625741066,,0.8958772668683731,0.9454741688472934,0.9767695169873148,0.935127739169229,0.9819840899976257,0.8632129508823416,0.9621135316692552,0.9631283428424932,0.9309055838616384,0.8037646627515884,0.8915279689501171,0.9893682601247844,0.9773336542897068,0.977198514315834,0.8891095043160324,0.9838704915385872,0.7346849420547639,0.986842943824494,0.9802779268664608,0.20950805915226625,0.9967483987179592,0.9864639294652752,0.6687908161342212,0.7084221374817959,0.6816247737390941,0.9234740784706712,0.7270240723115179,0.9764912565930016,0.9459814420374026,,0.9025325207007348,0.7935338172519084,0.8873650004979031,,0.9874007045642617,0.8839081738893331,0.987221513468958,,0.9472779659204024,0.9416873795805216,0.8989595370012347,0.8851077639347589,0.9391107909375904,0.8910842513258227,0.9583738257652534,0.6871685609985343,0.8979642013420802,0.8107800740809369,0.9669515004924186,0.8617163825852288,0.9414986625909899,0.8831255160031798,,0.8216781805414957,0.9664432661952672,0.942161106106758,0.9756130983143472,0.5475354798474396,0.9387090146601322,0.6383983367691236,0.9752143312699072,0.9479473569497521,,0.985417450140396,0.9824113008888559,0.9727961491795172,0.8165397373993073,0.6758760107783174,0.9493229652690396,0.6869796483820196,0.91967595259287,0.970985130805907,0.9287805398372856,0.873534244189381,0.4438844415667781,0.9141319614179656,0.5758852524429763,0.9523313720919498,0.9530676318484594,0.8749175041457893,0.898036161569969,0.6390702632788781,0.9456461552885874,0.9609603037346588,,,0.9308604562429632,0.8135225854965205,0.9918200214016274,,,,0.7368157303182394,,0.9603058966515144,0.7285555880079455,0.5809034215593946,,0.6648278573925719,0.9113041114559026,,0.6624821421371253,0.6030567492291444,0.8454264199087596,0.8124645988431212,0.8951102902047364,0.828597127061529,0.7722720390858684,,0.9438991300477648,0.9389201937783064,0.9510086077865496,0.9233308821670968,0.9902651797663724
ACH-000696,OVCAR8,Ovary,Ovary Adenocarcinoma,High Grade Serous,,0.8988854451016497,0.5704698428899146,0.8911783046041829,0.667865147203451,0.8101121562067761,0.9701531655638568,0.9270294769172522,0.983644756172477,0.9295271033219976,0.7258558798546998,,0.8549926799427581,0.8792974527046086,0.7003513050813225,0.9491036039344258,0.952357779050644,0.9427469881487384,0.9619497824330332,0.9963189308264256,0.7530390105395829,,0.7921376372158643,0.9726984784697232,0.6427804319506987,,0.9518817149451448,0.3808423805679089,0.9416670899846108,0.9663738670308579,0.9142271606561444,0.8839892888454358,,0.8951954681443117,0.9000542396976736,,0.8494355287807406,,0.9483283190296776,0.9772363933958026,0.8980020573806319,0.9710394624528068,0.9520864657082314,0.9294954982530984,0.7004766022340416,0.8536780700785183,0.8813738883604267,0.9237462889888948,,0.9187853488409836,0.9369659730471468,,0.9593158807634752,,0.9958401286199904,,0.968766831306092,0.813235138619356,0.8265228466095814,0.9321692263952251,0.616896658134297,0.9753234398811542,0.793004847000615,0.8906116655153877,0.5210614464088418,0.8826144823314744,0.8847418501122418,0.9041232886392536,,0.9940508355084448,0.9570108141641748,0.9840371142751436,0.8711895164924987,0.9519280373550479,0.9254117309772688,0.8035599738300692,,0.7324793494574883,0.8195968672148256,0.33165960735617456,0.5957789807332214,0.98135875477424,0.9789959591606864,0.9703212762449288,0.6820273384328084,0.972382284838877,0.5466980812239512,0.6156901505645652,0.24621738978069296,0.36395401819490497,,0.7366241869071042,,,0.8903774162258891,0.42040528537398575,0.660684220059307,0.936898924584966,0.6111873775805622,0.8931227717673009,0.8805411416738993,,,0.9565128656779702,0.838241299702055,0.8468377907804392,0.8757131179629032,,0.9271873816079426,,,,,0.5675982454875539,0.9329246273498624,0.6740581268145931,0.7416265306304657,0.6880931284145438,0.6855546840862747,,0.7367556676005662,0.35891974756234923,,0.7877323894450733,0.6921663100329403,0.8284552840601359,,0.7976909618565534,0.885251938338882,0.6176778968090361,0.5133353008592574,0.16814705275860514,0.8834109244428149,0.908511997012626,,0.13268016137995706,,,0.5435240028474249,0.7886443589205185,0.960915366837126,0.9021546284300164,0.3872127458021931,0.4955456811657427,,0.8445376964837408,0.7288990287918691,,,0.8412787232282426,0.7903060383920204,0.9254406574731696,0.6974890861724207,0.9262276507046288,0.9285048916720828,0.7491936325720832,0.8870210327600592,,0.8998712958912229,,0.800723118748484,0.9517049429378304,0.9909454844127858,0.6246292524946165,0.9552290326467368,0.8936795707015475,0.7050446658218525,0.9545108670347572,0.8916720802489216,0.9909053016418562,0.9671377569154166,0.9600740701295704,0.8208774206477324,0.7627430354997486,0.9715156036531388,0.8623051224192696,0.9058076062499484,0.8495133219781632,0.9510352669898464,0.7947803207760695,0.8612533809243976,,0.03372321921985785,0.9710073184836684,0.9703147030739516,0.3986158165172419,0.4674807050572129,0.2859215144151349,0.8429277041949955,0.3734257641943706,0.9890898027241528,0.9528305203498956,0.9592491006669728,0.9028563131186442,0.6764315339211495,0.9240191363257916,0.9342776801167716,,0.9076574453392176,0.9574271140057932,0.9494410358382336,0.9146060947956316,0.9227259741959102,0.9559396716625423,,0.9032042227842242,0.9207258753931292,,,0.6592884533685411,0.8582767380489134,0.5630789825565191,0.8009731012350262,0.9862037058592076,0.845112612545422,0.913463462521696,0.6636361041136446,0.9028728990647248,0.8450689195029295,0.963699157734516,0.6937730429535345,0.9590443678012168,0.30526382906940325,0.9424254159152734,0.9610634289176172,,0.9738888118367316,0.9594040851082488,,0.8796416812475221,0.4552267673382317,0.9707279111424942,0.31468174185136466,0.991560799765466,0.9725849152981516,0.8898495290295385,0.9388798949645926,0.5689180941152726,0.9040499252651892,0.7457306329011067,0.9456717785451764,0.9448164620975436,0.8627473876726489,0.7792415903580017,0.6988237795959037,,0.9084781419383684,,,0.9080003801785086,0.8205841097873224,0.9955307040987006,,0.7756949930408994,0.8661558083596627,0.6061094744331996,0.9737713782815636,0.9814775469557059,0.6715209552476337,0.454399496700257,0.8969205211605255,0.7270535036164988,0.8700809487205096,0.9725704824994184,0.7508405006282934,0.6861401022484876,0.5287502202317991,0.956025658615394,0.9291145675667828,0.6381204540495742,0.7568897487165895,0.9487431244588334,0.9712668072590502,0.9420381696469088,0.9553249789397492,0.9320897097623504,0.9937693182110792
ACH-000048,TOV112D,Ovary,Ovary Adenocarcinoma,Endometrioid,,0.9510001781504231,0.4910632379139254,0.9192877767181636,0.7991029104026848,0.7590350439731126,0.9152143879440072,0.9520284597088496,0.8734284645906301,0.8507431523139728,0.6366954537114115,0.9623516593911684,0.9773262511264638,0.8560498071567726,0.6699865106566912,0.911425182621702,0.9423964197019828,0.8727177509906733,,0.9394581736835308,0.7234172850142271,0.981027426070496,,,0.7148990512942149,0.9610732198829992,0.9442035235078604,0.5265916053064532,0.8478152016321638,0.9641916263428556,0.9841022093960374,0.8334577524723651,0.8987754966380342,0.9723872147631414,,0.9675095719325066,,0.9108073688317468,0.8987483917249446,0.8842921880201666,0.8301315866386855,0.9581610009036235,0.9725124628039274,0.7810432241178524,0.7382127934676261,0.8520773421854031,0.7197484541343554,0.8967870815002843,0.934689047522604,0.9171983971422696,0.8500895454686794,0.9253013725084279,,0.983892415216387,0.8667897889391569,0.973254154651404,0.9177769869174828,0.8785438195531987,0.7414492944695764,,0.5448254053229096,0.9051021550025108,0.7557838805815748,0.8885210274422726,0.41769405067099197,0.9521525838464624,0.9597551012824906,0.8363976549450614,0.8123103764481796,0.8616291487997791,0.9543469327025592,0.9114129176792168,0.8649039979665644,0.9334511210270576,0.9591248896640208,,,0.6276923506217219,0.8983770802570366,0.4958261319434058,0.7503738110431328,,,,0.5554671890380225,,0.32214756388807353,0.3558444568329939,0.11544378983663968,0.1843183059233083,,0.7107856117506725,0.8406037948730201,0.8843599500981826,0.7127315385163951,0.5413553189321899,0.4020063298096314,0.9330022811282958,0.5585975196286311,0.9691145935939772,0.8343150262580185,0.9777283605312532,0.9142488269221138,0.8870065747659609,0.625854351754129,0.8254588271817266,0.7362419006710419,,0.7774036539056625,0.9095580515229909,,0.8960457325225594,0.8445129779432223,0.5473942653871235,0.9085483351170288,0.6185723010116929,0.6309199011802518,0.7980954264782796,0.3489726283471993,0.9686231037842092,0.5749473234184802,0.2359395273742021,0.914321689773256,0.7072598704159659,0.5595199982399012,0.9635759398858894,0.8539242473251144,0.5791288605051751,0.7542949358038904,0.8491797272152128,0.145334287840977,0.1477376423191427,0.6371288212415827,0.9537698368898504,0.9850869140184132,0.21578785307622864,,0.9822561813369132,0.4885825435992735,0.7293257061423819,0.9947919769222,0.8435179587726955,0.4078676538160528,0.3821830939977288,0.921004634407142,0.7330370851673751,0.4462217769705543,0.9973343935906286,0.9754322043162836,0.8132570087616442,0.3819734821840627,0.9828232928977036,0.4355217420126786,0.8115889212112907,0.6547000737588208,0.519855704337404,0.7980850166203826,0.4226174337937923,,0.7787460055227434,0.8000893929907026,0.8287077585470237,0.9503204451602506,0.5179308882604001,0.9455056026952572,,0.8058150597960108,0.9761626080288124,0.709142077672545,0.9603949975217836,0.940647906044514,0.9197296705702199,,0.8265905088526061,0.9906924703841702,0.9260995648797448,0.8830641654429271,0.8618251522947338,0.9317801019977272,0.640091884774163,0.9928255405288536,0.9656107636137858,0.06858069305360909,0.9730710902706872,0.9810921187016424,0.6043216557389929,0.5709342576826621,0.4195048270491505,0.7982827559623417,0.5378791701746154,0.9874416705837308,0.98311177054586,0.9349106861667994,0.8049892786870949,0.6516657801489775,0.84154678974072,0.8369102492349285,0.9699121775403536,0.8811782221735154,0.8924435544845783,,0.9723323326914164,0.9335327357058284,0.9681320613918236,0.7557673317114749,0.9096351728300828,0.9586966341572636,0.9662309419993342,0.3644592575850594,0.7433876919535267,0.7130090172856788,0.4619034220432973,0.7808974295878579,0.7615607829307061,0.7527353850340663,0.8541581070229266,0.6538771484254637,0.933227852114106,0.9017672592518684,0.9708748442553128,0.41248682155257416,,0.6037539778957253,0.9669205286285316,0.9025943009971986,,0.997311291228095,0.9886316005803052,0.9738182359130788,0.8132863402176468,0.4312125845616671,0.9526298345645852,0.22632016241091274,0.908259025532156,0.6025452028831171,0.7633778566030138,0.7050999226575448,0.3043368349730555,0.8624530485922486,0.4505611784322557,0.7602009687965449,0.8678378068020309,0.7259523433449137,0.5987732523043889,0.4605784014492458,0.9771812046981416,0.7455164198744271,0.9960941648335802,0.9966433812776908,0.8465267059299407,0.7794230822868659,0.9914405694573836,,0.9424708201486836,0.5895999304800817,0.41864917531857054,0.9584363960617808,0.9970702583885036,0.6140390175250249,0.6114901898147236,,0.4319031794861604,0.7594649642359563,0.9470705237265632,0.5880616761200992,0.434517631490836,0.2009788377258533,0.7387488366124552,0.9078890087389652,0.6348572061249027,0.7431521156341243,0.939718486300098,0.9749857924711172,0.9281028343479618,0.9326323158223636,0.9150394392545921,0.984470574060335
